booking_id,accm_txn_complete_time
100000,5/17/2022
100001,5/17/2022
100002,5/18/2022
100003,5/19/2022
100004,5/20/2022
100005,5/21/2022
100006,5/22/2022
100007,5/23/2022
100008,5/24/2022
100009,5/25/2022
100010,5/26/2022
100011,5/27/2022
100012,5/28/2022
100013,5/29/2022
100014,5/30/2022
100015,5/31/2022
100016,6/1/2022
100017,6/2/2022
100018,6/3/2022
100019,6/4/2022
100020,6/5/2022
100021,6/6/2022
100022,6/7/2022
100023,6/8/2022
100024,6/9/2022
100025,6/10/2022
100026,6/11/2022
100027,6/12/2022
100028,6/13/2022
100029,6/14/2022
100030,6/15/2022
100031,6/16/2022
100032,5/17/2022
100033,5/18/2022
100034,5/19/2022
100035,5/20/2022
100036,5/21/2022
100037,5/22/2022
100038,5/23/2022
100039,5/24/2022
100040,5/25/2022
100041,5/26/2022
100042,5/27/2022
100043,5/28/2022
100044,5/29/2022
100045,5/30/2022
100046,5/31/2022
100047,6/1/2022
100048,6/2/2022
100049,6/3/2022
100050,6/4/2022
100051,6/5/2022
100052,6/6/2022
100053,6/7/2022
100054,6/8/2022
100055,6/9/2022
100056,6/10/2022
100057,6/11/2022
100058,6/12/2022
100059,6/13/2022
100060,6/14/2022
100061,6/15/2022
100062,6/16/2022
100063,5/17/2022
100064,5/18/2022
100065,5/19/2022
100066,5/20/2022
100067,5/21/2022
100068,5/22/2022
100069,5/23/2022
100070,5/24/2022
100071,5/25/2022
100072,5/26/2022
100073,5/27/2022
100074,5/28/2022
100075,5/29/2022
100076,5/30/2022
100077,5/31/2022
100078,6/1/2022
100079,6/2/2022
100080,6/3/2022
100081,6/4/2022
100082,6/5/2022
100083,6/6/2022
100084,6/7/2022
100085,6/8/2022
100086,6/9/2022
100087,6/10/2022
100088,6/11/2022
100089,6/12/2022
100090,6/13/2022
100091,6/14/2022
100092,6/15/2022
100093,6/16/2022
100094,5/17/2022
100095,5/18/2022
100096,5/19/2022
100097,5/20/2022
100098,5/21/2022
100099,5/22/2022
100100,5/23/2022
100101,5/24/2022
100102,5/25/2022
100103,5/26/2022
100104,5/27/2022
100105,5/28/2022
100106,5/29/2022
100107,5/30/2022
100108,5/31/2022
100109,6/1/2022
100110,6/2/2022
100111,6/3/2022
100112,6/4/2022
100113,6/5/2022
100114,6/6/2022
100115,6/7/2022
100116,6/8/2022
100117,6/9/2022
100118,6/10/2022
100119,6/11/2022
100120,6/12/2022
100121,6/13/2022
100122,6/14/2022
100123,6/15/2022
100124,6/16/2022
100125,5/17/2022
100126,5/18/2022
100127,5/19/2022
100128,5/20/2022
100129,5/21/2022
100130,5/22/2022
100131,5/23/2022
100132,5/24/2022
100133,5/25/2022
100134,5/26/2022
100135,5/27/2022
100136,5/28/2022
100137,5/29/2022
100138,5/30/2022
100139,5/31/2022
100140,6/1/2022
100141,6/2/2022
100142,6/3/2022
100143,6/4/2022
100144,6/5/2022
100145,6/6/2022
100146,6/7/2022
100147,6/8/2022
100148,6/9/2022
100149,6/10/2022
100150,6/11/2022
100151,6/12/2022
100152,6/13/2022
100153,6/14/2022
100154,6/15/2022
100155,6/16/2022
100156,5/17/2022
100157,5/18/2022
100158,5/19/2022
100159,5/20/2022
100160,5/21/2022
100161,5/22/2022
100162,5/23/2022
100163,5/24/2022
100164,5/25/2022
100165,5/26/2022
100166,5/27/2022
100167,5/28/2022
100168,5/29/2022
100169,5/30/2022
100170,5/31/2022
100171,6/1/2022
100172,6/2/2022
100173,6/3/2022
100174,6/4/2022
100175,6/5/2022
100176,6/6/2022
100177,6/7/2022
100178,6/8/2022
100179,6/9/2022
100180,6/10/2022
100181,6/11/2022
100182,6/12/2022
100183,6/13/2022
100184,6/14/2022
100185,6/15/2022
100186,6/16/2022
100187,5/16/2022
100188,5/17/2022
100189,5/18/2022
100190,5/19/2022
100191,5/20/2022
100192,5/21/2022
100193,5/22/2022
100194,5/23/2022
100195,5/24/2022
100196,5/25/2022
100197,5/26/2022
100198,5/27/2022
100199,5/28/2022
100200,5/29/2022
100201,5/30/2022
100202,5/31/2022
100203,6/1/2022
100204,6/2/2022
100205,6/3/2022
100206,6/4/2022
100207,6/5/2022
100208,6/6/2022
100209,6/7/2022
100210,6/8/2022
100211,6/9/2022
100212,6/10/2022
100213,6/11/2022
