id,name,host_id,location,neighbourhood,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,review_scores_rating,cancellation_policy
12147973,Sunny Bungalow in the City,31303940,"Birch Street, Boston, MA 02131, United States",Roslindale,2131,42.2826188,-71.13306793,House,Entire home/apt,4,1.5,2,3,$250.00,2,,moderate
3075044,Charming room in pet friendly apt,2572247,"Pinehurst Street, Boston, MA 02131, United States",Roslindale,2131,42.28624082,-71.13437396,Apartment,Private room,2,1,1,1,$65.00,2,94,moderate
6976,Mexican Folk Art Haven in Boston,16701,"Ardale St., Boston, MA 02131, United States",Roslindale,2131,42.29243789,-71.13576525,Apartment,Private room,2,1,1,1,$65.00,3,98,moderate
1436513,Spacious Sunny Bedroom Suite in Historic Home,6031442,"Boston, MA, United States",Roslindale,,42.28110619,-71.12102117,House,Private room,4,1,1,2,$75.00,1,100,moderate
7651065,Come Home to Boston,15396970,"Durnell Avenue, Boston, MA 02131, United States",Roslindale,2131,42.28451221,-71.13625805,House,Private room,2,1.5,1,2,$79.00,2,99,flexible
12386020,Private Bedroom + Great Coffee,64200298,"Walter Street, Boston, MA 02131, United States",Roslindale,2131,42.2916898,-71.13189277,Condominium,Private room,2,1,1,1,$75.00,2,100,flexible
5706985,New Lrg Studio apt 15 min to Boston,6570877,"Kittredge Street, Boston, MA 02131, United States",Roslindale,2131,42.28138963,-71.13119042,Apartment,Entire home/apt,3,1,1,2,$100.00,1,90,strict
2843445,"""Tranquility"" on ""Top of the Hill""",3164508,"Cornell Street, Boston, MA 02131, United States",Roslindale,2131,42.2819461,-71.14102161,House,Private room,2,2,1,1,$75.00,1,96,moderate
753446,6 miles away from downtown Boston!,3962517,"Sycamore St, Roslindale, MA 02131, United States",Roslindale,2131,42.28587764,-71.12490956,Condominium,Private room,2,1,1,2,$58.00,2,96,moderate
849408,Perfect & Practical Boston Rental,4434391,"Centre Street, Boston, MA 02131, United States",Roslindale,2131,42.28882028,-71.1395101,Apartment,Entire home/apt,5,1,2,2,$229.00,4,94,strict
12023024,Cozy room in a well located house,64331842,"Newburg Street, Boston, MA 02131, United States",Roslindale,2131,42.2864482,-71.13932539,House,Private room,2,1,1,1,$60.00,1,80,flexible
1668313,Room in Rozzie-Twin Bed-Full Bath,8834105,"Durnell Avenue, Boston, MA 02131, United States",Roslindale,2131,42.28194183,-71.1333719,House,Private room,1,1,1,1,$57.00,1,94,flexible
2684840,"Updated, spacious living in Rozzie",13743098,"Primrose Street, Boston, MA 02131, United States",Roslindale,2131,42.29172341,-71.13155602,Condominium,Entire home/apt,4,1,2,2,$93.00,1,100,flexible
13547301,2 Bedroom Apartment in Boston,57402911,"Fairview Street, Boston, MA 02131, United States",Roslindale,2131,42.28764103,-71.12988287,Apartment,Entire home/apt,5,1,2,3,$150.00,2,97,moderate
5434353,Quiet  Beauty in Boston,9658771,"Tyndale Street, Boston, MA 02131, United States",Roslindale,2131,42.28626474,-71.13706513,House,Entire home/apt,2,1.5,2,2,$145.00,3,91,moderate
225979,Cozy Room & Fresh Roasted Coffee,1176995,"Augustus Ave, Boston, MA 02131, United States",Roslindale,2131,42.28145207,-71.12925004,Apartment,Private room,1,0,1,1,$60.00,1,96,strict
3420384,"Convient, Safe and Comfortable",431385,"Doncaster Street, Boston, MA 02131, United States",Roslindale,2131,42.27440801,-71.12529404,House,Private room,4,1,1,3,$165.00,3,100,flexible
13512930,Roslindale Beauty next to Arboretum,13743098,"Primrose Street, Boston, MA 02131, United States",Roslindale,2131,42.29181492,-71.13158793,Condominium,Private room,2,1,1,1,$75.00,1,100,flexible
7482195,Private room near bus stop,34552909,"Brook Street, Boston, MA 02131, United States",Roslindale,2131,42.28222476,-71.11518856,House,Private room,1,1,1,1,$49.00,5,,strict
7252607,Private Room near Public Transport,34552909,"Brook St, Boston, MA 02131, United States",Roslindale,2131,42.28280175,-71.11514509,House,Private room,2,1,1,1,$49.00,5,95,strict
2583074,Cozy room in a charming villa.,13226301,"Cedrus Avenue, Boston, MA 02131, United States",Roslindale,2131,42.27964782,-71.13605873,Villa,Private room,1,2.5,1,1,$40.00,2,99,flexible
13251243,Arborside Guest Cottage,74531248,"Weld Street, Roslindale, MA 02131, United States",Roslindale,2131,42.29403534,-71.13223725,House,Entire home/apt,3,1,0,2,$120.00,2,98,moderate
225834,Skyline View to Boston,1176995,"Augustus Ave, Boston, MA 02131, United States",Roslindale,2131,42.28052813,-71.13084254,Apartment,Private room,2,0,1,1,$70.00,1,98,strict
6400432,Spacious 3 bedroom cape cod style,23127285,"Metropolitan Ave, Boston, MA 02131, United States",Roslindale,2131,42.27838291,-71.1287801,House,Entire home/apt,8,1,3,5,$150.00,3,88,flexible
5498472,"4BD/3.5BA, Perfect for families!",28518068,"Chisholm Lane, Boston, MA 02131, United States",Roslindale,2131,42.27683095,-71.12955974,House,Entire home/apt,5,3.5,4,3,$175.00,14,100,moderate
894539,Private room in house ,4762495,"Ashfield Street, Roslindale, MA 02131, United States",Roslindale,2131,42.29090393,-71.13023771,House,Private room,2,1.5,1,1,$95.00,1,96,moderate
