booking_id,listinng_id,is_canceled,arrival_date,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,reservation_status,reservation_status_date,customer_id
100000,12147973,0,2016-01-01,0,1,2,0,0,Check-Out,2016-01-02,112826
100001,3075044,0,2016-01-01,0,1,2,2,0,Check-Out,2016-01-02,102167
100002,6976,1,2016-01-01,0,1,2,0,0,No-Show,2016-01-01,104138
100003,1436513,0,2016-01-01,0,2,2,0,0,Check-Out,2016-01-03,110653
100004,7651065,1,2016-01-01,0,2,2,2,0,Canceled,2015-12-22,111942
100005,12386020,1,2016-01-01,1,2,2,0,0,Canceled,2015-12-20,114059
100006,5706985,0,2016-01-01,0,2,2,1,0,Check-Out,2016-01-03,106341
100007,2843445,1,2016-01-02,0,1,2,0,0,Canceled,2015-11-16,104458
100008,753446,1,2016-01-02,0,1,2,0,0,Canceled,2015-11-16,111551
100009,849408,1,2016-01-02,0,1,2,0,0,Canceled,2015-11-16,103842
100010,12023024,1,2016-01-02,0,1,2,0,0,Canceled,2015-11-16,101283
100011,1668313,1,2016-01-02,0,1,2,0,0,Canceled,2015-11-16,112179
100012,2684840,1,2016-01-02,0,1,2,0,0,Canceled,2015-11-16,109789
100013,13547301,1,2016-01-02,0,1,2,0,0,Canceled,2015-11-16,100678
100014,5434353,1,2016-01-02,0,1,2,0,0,Canceled,2015-11-16,102872
100015,225979,1,2016-01-02,0,1,2,0,0,Canceled,2015-11-16,113104
100016,3420384,1,2016-01-02,0,1,2,0,0,Canceled,2015-11-16,103052
100017,13512930,1,2016-01-02,0,1,2,0,0,Canceled,2015-11-16,114078
100018,7482195,1,2016-01-02,0,1,2,0,0,Canceled,2015-11-16,109267
100019,7252607,1,2016-01-02,0,1,2,0,0,Canceled,2015-11-16,100507
100020,2583074,1,2016-01-02,0,1,2,0,0,Canceled,2015-11-16,113164
100021,13251243,1,2016-01-02,0,1,2,0,0,Canceled,2015-11-16,109755
100022,225834,1,2016-01-02,0,1,2,0,0,Canceled,2015-11-16,111785
100023,6400432,1,2016-01-02,0,1,2,0,0,Canceled,2015-11-16,106578
100024,5498472,1,2016-01-02,0,1,2,0,0,Canceled,2015-11-16,113823
100025,894539,1,2016-01-02,0,1,2,0,0,Canceled,2015-11-16,113475
100026,879929,1,2016-01-02,0,1,2,0,0,Canceled,2015-11-16,103077
100027,9218312,1,2016-01-02,0,1,2,0,0,Canceled,2015-11-16,114186
100028,321328,1,2016-01-02,0,1,2,0,0,Canceled,2015-11-16,104230
100029,1810172,1,2016-01-02,0,1,2,0,0,Canceled,2015-11-16,101364
100030,6513924,1,2016-01-02,0,1,2,0,0,Canceled,2015-11-16,101208
100031,7093109,1,2016-01-02,0,1,2,0,0,Canceled,2015-11-16,109867
100032,14690527,0,2016-01-02,2,5,2,0,0,Check-Out,2016-01-09,105624
100033,7086825,1,2016-01-03,2,3,2,0,0,Canceled,2015-12-12,104806
100034,1861070,1,2016-01-03,2,4,2,0,0,Canceled,2015-12-26,106327
100035,4283698,1,2016-01-04,1,1,2,0,0,Canceled,2016-01-04,104705
100036,10116095,1,2016-01-04,1,2,2,0,0,Canceled,2016-01-04,110673
100037,8548176,1,2016-01-04,1,3,2,0,0,Canceled,2015-12-30,100589
100038,4922204,1,2016-01-04,1,3,1,0,0,Canceled,2015-12-30,106395
100039,4085362,1,2016-01-04,1,3,2,0,0,Canceled,2015-12-30,101286
100040,3755609,1,2016-01-04,1,3,2,0,0,Canceled,2015-12-30,103524
100041,13768853,1,2016-01-04,1,3,2,0,0,Canceled,2015-12-30,105575
100042,1936861,1,2016-01-04,1,4,2,0,0,Canceled,2015-12-26,110919
100043,4461111,1,2016-01-04,1,4,2,0,0,Canceled,2015-11-17,109209
100044,1724900,1,2016-01-05,0,5,1,0,0,Canceled,2015-12-26,110770
100045,13937181,1,2016-01-05,0,3,2,0,0,Canceled,2015-09-14,102204
100046,3968797,1,2016-01-05,8,20,2,0,0,Canceled,2015-12-29,110856
100047,1494726,0,2016-01-06,0,1,2,0,0,Check-Out,2016-01-07,105980
100048,8473851,0,2016-01-06,0,4,2,0,0,Check-Out,2016-01-10,110179
100049,3575220,0,2016-01-06,0,4,2,0,0,Check-Out,2016-01-10,110559
100050,1591827,1,2016-01-06,2,6,2,0,0,Canceled,2015-11-12,110061
100051,3229255,1,2016-01-06,2,6,2,0,0,Canceled,2015-11-12,109733
100052,1721016,1,2016-01-07,0,1,2,0,0,Canceled,2016-01-07,111688
100053,12535687,1,2016-01-07,1,3,2,0,0,Canceled,2015-09-05,113705
100054,12994227,1,2016-01-07,2,5,2,0,0,Canceled,2015-06-26,107168
100055,12927298,1,2016-01-07,2,5,1,0,0,Canceled,2015-11-26,106670
100056,169938,1,2016-01-08,0,2,2,0,0,Canceled,2015-12-28,110547
100057,594693,1,2016-01-08,0,2,2,0,0,Canceled,2015-12-28,110056
100058,2384581,1,2016-01-08,0,2,2,0,0,No-Show,2016-01-08,102506
100059,735970,0,2016-01-08,0,2,2,0,0,Check-Out,2016-01-10,112075
100060,4262255,1,2016-01-08,0,2,2,0,0,Canceled,2016-01-04,114707
100061,4000384,1,2016-01-08,1,2,2,0,0,No-Show,2016-01-08,106289
100062,6693305,1,2016-01-08,1,2,2,0,0,Canceled,2016-01-06,102377
100063,6730758,1,2016-01-08,1,2,2,0,0,Canceled,2016-01-06,101831
100064,6248970,0,2016-01-08,2,2,2,0,0,Check-Out,2016-01-12,106648
100065,12806707,0,2016-01-08,2,3,2,0,0,Check-Out,2016-01-13,100824
100066,14246616,1,2016-01-08,8,20,2,0,0,Canceled,2015-09-21,105462
100067,3703674,1,2016-01-09,0,1,1,0,0,Canceled,2016-01-08,111801
100068,4792901,1,2016-01-09,0,1,2,0,0,Canceled,2016-01-05,113461
100069,5717528,1,2016-01-09,0,1,1,0,0,Canceled,2016-01-08,114802
100070,5601743,1,2016-01-09,0,1,2,0,0,Canceled,2016-01-05,100638
100071,13333862,1,2016-01-09,2,1,2,0,0,Canceled,2015-10-05,114359
100072,519272,1,2016-01-09,2,5,2,0,0,Canceled,2015-12-30,114470
100073,14090779,1,2016-01-09,2,6,2,2,0,Canceled,2015-10-05,107855
100074,8481291,0,2016-01-09,4,10,2,0,0,Check-Out,2016-01-23,110510
100075,6990904,1,2016-01-10,2,4,1,0,0,Canceled,2015-09-04,105251
100076,197727,1,2016-01-10,2,3,2,0,0,Canceled,2016-01-06,114904
100077,932853,1,2016-01-12,0,2,2,0,0,No-Show,2016-01-12,105961
100078,11159585,1,2016-01-12,2,10,2,0,0,Canceled,2015-10-28,108871
